id;street_address;postal_code;city;state_province
1;stiff;unto service;Tarragona;self-reliant annotate
2;kindheartedly angstrom net;these;Palma de Mallorca;unless micturate onto
3;via yahoo frightfully;after upload;Santa Coloma de Gramanet;scallops gah powerfully
4;cub;headline furthermore smoothly;Santa Lucía de Tirajana;consequently
5;cumbersome sugary;under incidentally zowie;Tarragona;yuck wetly
6;charter;usually onto;Cuenta;a frustration fisherman
7;repentant;reluctantly inasmuch;Arrecife;yowza hm defiantly
8;incision;leeway;Alcorcón;surprisingly
9;while;ouch;Mijas;alongside owlishly fizz
10;yowza;tinted boo;La Coruña;vivacious phooey platter
